run 40: {'page': 1, 'para': 6, 'line': 10, 'text': 'innlichen Kenntni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 41: {'page': 1, 'para': 6, 'line': 10, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 42: {'page': 1, 'para': 6, 'line': 10, 'text': 'e. Reine', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 43: {'page': 1, 'para': 6, 'line': 11, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 44: {'page': 1, 'para': 6, 'line': 11, 'text': 'Erfahrungen. Reine Empfindungsideen.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 45: {'page': 1, 'para': 6, 'line': 12, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 46: {'page': 1, 'para': 6, 'line': 12, 'text': 'Unmittelbare Empfindungsurtheile.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 47: {'page': 1, 'para': 7, 'line': 13, 'text': '3) Schwierigkeiten bey einigen unmittelbaren', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 48: {'page': 1, 'para': 7, 'line': 14, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 49: {'page': 1, 'para': 7, 'line': 14, 'text': 'Empfindungsurtheilen, die man f', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 50: {'page': 1, 'para': 7, 'line': 14, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 51: {'page': 1, 'para': 7, 'line': 14, 'text': 'r mittel-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 52: {'page': 1, 'para': 7, 'line': 15, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 53: {'page': 1, 'para': 7, 'line': 15, 'text': 'bare anzu', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 54: {'page': 1, 'para': 7, 'line': 15, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 55: {'page': 1, 'para': 7, 'line': 15, 'text': 'ehen pflegt. Sinnliche Urtheile', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 56: {'page': 1, 'para': 7, 'line': 16, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 57: {'page': 1, 'para': 7, 'line': 16, 'text': 'ber die ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 58: {'page': 1, 'para': 7, 'line': 16, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 59: {'page': 1, 'para': 7, 'line': 16, 'text': 'ichtliche Gr', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 60: {'page': 1, 'para': 7, 'line': 16, 'text': 'ö', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 61: {'page': 1, 'para': 7, 'line': 16, 'text': 'ße der Objekte.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 62: {'page': 1, 'para': 8, 'line': 17, 'text': '4) Zwote Art der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 63: {'page': 1, 'para': 8, 'line': 17, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 64: {'page': 1, 'para': 8, 'line': 17, 'text': 'innlichen Kenntni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 65: {'page': 1, 'para': 8, 'line': 17, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
